"0389064","0389064"
"0403248","0403248"
"5226","0426661"
"0444222","0444222"
"448794","0448794"
"2157","0454907"
"0460768","0460768"
"461313","0461313"
"0471925","0471925"
"0485581","0485581"
"0525345","0525345"
"0549330","0549330"
"2934","0552832"
"4119","0556931"
"0558371","0558371"
"0558782","0558782"
"0559325","0559325"
"0603690","0603690"
"85","0607608"
"0619106","0619106"
"0624181","0624181"
"0628689","0628689"
"1102","0635916"
"0640871","0640871"
"0642677","0642677"
"2706","0642826"
"0651361","0651361"
"337","0652102"
"4595","0653324"
"0654977","0654977"
"883","0655149"
"0655535","0655535"
"5184","0661724"
"797","0661762"
"0665987","0665987"
"6439","0670480"
"0672466","0672466"
"2005","0673452"
"1555","0676937"
"4031","0677511"
"0684675","0684675"
"0686110","0686110"
"0686281","0686281"
"0687733","0687733"
"6007","0688605"
"0689196","0689196"
"0691364","0691364"
"2193","0692326"
"0692332","0692332"
"0693788","0693788"
"0694382","0694382"
"1543","0696531"
"0697686","0697686"
"2703","0702332"
"0702470","0702470"
"0703275","0703275"
"0703893","0703893"
"1974","0704374"
"0707501","0707501"
"3502","0708028"
"1145","0708041"
"648","0711406"
"0712570","0712570"
"604","0713117"
"1812","0715493"
"0716499","0716499"
"7235","1086594"
"653","1087105"
"2634","1088276"
"7220","1088341"
"1834","1088960"
"5999","1088987"
"2183","1089294"
"1089451","1089451"
"1131188","1131188"
"1132204","1132204"
"851","1132387"
"1132549","1132549"
"4766","1132593"
"5844","1133220"
"1133229","1133229"
"1134099","1134099"
"1134111","1134111"
"2065","1134472"
"1134758","1134758"
"1134895","1134895"
"544","1135938"
"1691","1136376"
"5945","1136549"
"843","1137185"
"5510","1139205"
"1140366","1140366"
"3612","1140425"
"0953416","0953416"
"1249","0953489"
"0953547","0953547"
"0954604","0954604"
"0954773","0954773"
"0954859","0954859"
"75","0955114"
"2110","0955692"
"1033","0956498"
"0956771","0956771"
"1474","0956800"
"6793","0956836"
"0957188","0957188"
"0957767","0957767"
"0958018","0958018"
"733","0958629"
"0958771","0958771"
"0959146","0959146"
"7648","0959278"
"1918","0959896"
"1833","0960067"
"508","0960288"
"0960383","0960383"
"1066","0961521"
"563","0962151"
"6362","0962603"
"0962622","0962622"
"0962652","0962652"
"0962670","0962670"
"0962990","0962990"
"3840","0963030"
"7244","0963545"
"0964509","0964509"
"5405","0964825"
"0965898","0965898"
"0965916","0965916"
"4939","0966138"
"0966210","0966210"
"0966464","0966464"
"0966964","0966964"
"0966965","0966965"
"173","0967435"
"0967574","0967574"
"3508","0968347"
"1781","0968850"
"459","0969124"
"0970060","0970060"
"0970475","0970475"
"0971025","0971025"
"0971532","0971532"
"1940","0972640"
"1323","0973080"
"0973577","0973577"
"208","0976069"
"1957","0976316"
"2997","0977041"
"2117","0977735"
"0979786","0979786"
"0979790","0979790"
"0979800","0979800"
"2621","0979805"
"0979837","0979837"
"980479","0980479"
"5222","0980707"
"2713","0981047"
"0982273","0982273"
"1840","0982440"
"0983581","0983581"
"0983592","0983592"
"2009","0983893"
"3811","0984026"
"0984045","0984045"
"0984124","0984124"
"2316","0986073"
